run,kimg,ada_p,g_loss,d_loss,d_score_real,d_score_fake,r1_penalty,sec_per_kimg,peak_gpu_mem_gb,total_hours,fid50k_full,fid50k_full_eval_count,kid50k_full,pr50k3_full_precision,pr50k3_full_recall,kid50k_full_eval_count,pr50k3_full_precision_eval_count,pr50k3_full_recall_eval_count
E1,0,0.0,0.2912329826503992,3.4949525594711304,-1.2386623173952103,2.1167374923825264,0.0003428864074521698,247.2246551513672,17.658164978027344,0.01337758544832468,309.2155540500527,1,,,,,,
E1,4,0.0030719998758286238,7.732306689097886,0.7493923515458369,1.2834833319665808,-6.769849478385397,0.0011654318344274845,11.663389205932617,9.841800689697266,0.09065105766057968,,,,,,,,
E1,8,0.009728001430630684,8.233988835225029,0.36326256017237607,2.935989973899811,-7.697136886913093,0.005145602362972568,11.87775993347168,3.22822904586792,0.10395634919404984,,,,,,,,
E1,12,0.017920004203915596,5.314526463548343,0.36811433139392025,4.331356911294496,-4.927658900884645,0.028600819379789755,11.8367280960083,3.230619430541992,0.11721955984830856,,,,,,,,
E1,16,0.019968004897236824,3.5408096066194483,1.167833608285051,2.2679959958725013,-2.3728223144231984,0.011978932710917434,11.893345832824707,3.2384653091430664,0.13055092096328735,,,,,,,,
E1,20,0.025088006630539894,3.4518175586939805,0.6447389287770622,2.7412326206355844,-2.8608504610047456,0.014126607849902939,11.739034652709961,3.2315258979797363,0.1437097042798996,,,,,,,,
E1,24,0.029696008190512657,3.8109989852186232,0.49053292093606343,3.052822342281466,-3.24764954989096,0.01716527253302047,11.865838050842285,3.2344765663146973,0.15700165927410126,,,,,,,,
E1,28,0.03584000840783119,3.5343591511426937,0.6375541413158533,3.431794492166434,-2.8736647475503445,0.014612168008170556,11.894994735717773,3.230724334716797,0.1703268438577652,,,,,,,,
E1,32,0.04096001014113426,4.27318649946682,0.83579633747124,2.763486358948719,-3.1317924365238654,0.00902119897364173,11.881514549255371,3.231945037841797,0.1836361587047577,,,,,,,,
E1,36,0.047104012221097946,3.062616967256107,0.5556652209581068,3.087506576427328,-2.5706029581423433,0.016763521824032068,11.799714088439941,3.2336015701293945,0.196857288479805,,,,,,,,
E1,40,0.04761601239442825,2.655100884536902,0.8892747710739809,1.9148273537519263,-1.8462245439230982,0.016080427478300408,11.895857810974121,3.2480311393737793,0.21018247306346893,,,,,,,,
E1,44,0.050688013434410095,2.6617377591984615,0.7151620539555711,2.4345236132894432,-2.0284018812494145,0.04267112768138759,11.87082576751709,3.238717555999756,0.22348491847515106,,,,,,,,
E1,48,0.05171201378107071,4.501819092957747,1.0389684134473403,2.2553616196973554,-3.000023959041943,0.023522295930888504,11.822189331054688,3.2334628105163574,0.23673014342784882,,,,,,,,
E1,52,0.05478401482105255,2.247482471936752,0.6467837707272598,3.0601464977293316,-1.773232358359983,0.023483550343371462,11.74876594543457,3.288567066192627,0.24989522993564606,,,,,,,,
E1,57,0.05324801430106163,2.210984316610155,0.8856674221506904,1.762526507273928,-1.6094630181748746,0.0207773914153222,11.866933822631836,3.236989974975586,0.26318827271461487,,,,,,,,
E1,61,0.05632001534104347,4.534440992799189,0.8972254614123986,2.5727066211402416,-3.252542187252806,0.053115505492314696,11.756162643432617,3.2451114654541016,0.2763573229312897,,,,,,,,
E1,65,0.059392016381025314,2.1451458106674846,0.66409327673711,2.7700599190542725,-1.7306438743669008,0.04709108264069073,11.78982925415039,3.232611656188965,0.2895657420158386,,,,,,,,
E1,69,0.06451200693845749,2.7130105325153897,0.5458887765804926,3.6914952694240846,-2.2721772468501023,0.04234230929675201,11.763442993164062,3.244128704071045,0.30274495482444763,,,,,,,,
E1,73,0.06809598207473755,2.2973821003522192,0.6840561108427152,2.872781724210328,-1.7740091526999124,0.053182371659204364,11.899764060974121,3.2733898162841797,0.31607475876808167,,,,,,,,
E1,77,0.0711679607629776,2.281068132037208,0.7418473226624349,2.4773144761183814,-1.7243932211912045,0.05966182459087577,11.848536491394043,3.2398605346679688,0.3293513357639313,,,,,,,,
E1,81,0.07219195365905762,2.380224893253947,0.709561489685069,2.6049376654424776,-1.8408944140380574,0.06760508724255487,11.891450881958008,3.237361431121826,0.3426799178123474,,,,,,,,
