group,n_seeds,members,snapshot_kimg,fid50k_full_mean,fid50k_full_min,fid50k_full_max,fid50k_full_range,kid50k_full_mean,kid50k_full_min,kid50k_full_max,kid50k_full_range,pr50k3_full_precision_mean,pr50k3_full_precision_min,pr50k3_full_precision_max,pr50k3_full_precision_range,pr50k3_full_recall_mean,pr50k3_full_recall_min,pr50k3_full_recall_max,pr50k3_full_recall_range
E1,2,E1+E1b,1512/1500,16.27877878875441,15.925510457134907,16.63204712037391,0.7065366632390049,0.010419519618153572,0.009742794558405876,0.011096244677901268,0.0013534501194953918,0.5732499957084656,0.5578399896621704,0.5886600017547607,0.030820012092590332,0.06703999824821949,0.06015999987721443,0.07391999661922455,0.013759996742010117
E2,2,E2+E2b,1500/1500,18.72903819874425,18.585765297849548,18.872311099638946,0.2865458017893978,0.011818815022706985,0.011263472028076649,0.012374158017337322,0.0011106859892606735,0.5580900013446808,0.5571799874305725,0.5590000152587891,0.0018200278282165527,0.03459499962627888,0.028289999812841415,0.04089999943971634,0.012609999626874924
E4,2,E4+E4b,1500/1500,14.914227771055359,14.013164432310631,15.815291109800087,1.802126677489456,0.007854189490899444,0.007512099575251341,0.008196279406547546,0.0006841798312962055,0.5375600159168243,0.5280200242996216,0.5471000075340271,0.019079983234405518,0.056084999814629555,0.03669999912381172,0.07547000050544739,0.038770001381635666
