run,target_kimg,snapshot_kimg,fid50k_full,kid50k_full,pr50k3_full_precision,pr50k3_full_recall
E1,1500,1512,16.63204712037391,0.011096244677901268,0.5886600017547607,0.06015999987721443
E2,1500,1500,18.585765297849548,0.011263472028076649,0.5571799874305725,0.028289999812841415
E3,1500,1500,16.466019098955726,0.009103645570576191,0.6241199970245361,0.026270000264048576
E4,1500,1500,15.815291109800087,0.008196279406547546,0.5471000075340271,0.03669999912381172
E5,1500,1500,15.479140968993278,0.007494125980883837,0.6042400002479553,0.029980000108480453
E1b,1500,1500,15.925510457134907,0.009742794558405876,0.5578399896621704,0.07391999661922455
E2b,1500,1500,18.872311099638946,0.012374158017337322,0.5590000152587891,0.04089999943971634
E4b,1500,1500,14.013164432310631,0.007512099575251341,0.5280200242996216,0.07547000050544739
