run,run_dir,final_kimg,total_hours,ada_p,peak_gpu_mem_gb,final_interval_peak_gpu_mem_gb,mean_sec_per_kimg,fid50k_full_final,fid50k_full_final_kimg,fid50k_full_final_eval_count,fid50k_full_best,fid50k_full_best_kimg,kid50k_full_final,kid50k_full_final_kimg,kid50k_full_final_eval_count,pr50k3_full_precision_final,pr50k3_full_precision_final_kimg,pr50k3_full_precision_final_eval_count,pr50k3_full_recall_final,pr50k3_full_recall_final_kimg,pr50k3_full_recall_final_eval_count
E1,E:\Documents\Personal\TJU\25262\机器学习与深度学习\deeplearning-course-stylegan\results\runs\p1-lsun-church256-100k-baseline\00003-lsun-church-256-100k-mirror-paper256-kimg2000-ada-target0.6-bgc,2000,7.345179557800293,0.1530877947807312,17.658164978027344,3.2403554916381836,12.343778061435016,12.996339782538502,2000,1,12.996339782538502,2000,0.011096244677901268,1512,2,0.5886600017547607,1512,1,0.06015999987721443,1512,1
E2,E:\Documents\Personal\TJU\25262\机器学习与深度学习\deeplearning-course-stylegan\results\runs\p2-lsun-church256-100k-noada-1500\00003-lsun-church-256-100k-mirror-paper256-kimg1500-noaug,1500,4.56337308883667,0.0,17.658164978027344,3.070557117462158,11.444898891704652,18.585765297849548,1500,2,18.585765297849548,1500,0.011263472028076649,1500,1,0.5571799874305725,1500,1,0.028289999812841415,1500,1
E3,E:\Documents\Personal\TJU\25262\机器学习与深度学习\deeplearning-course-stylegan\results\runs\p2-lsun-church256-100k-fixedp02-1500\00003-lsun-church-256-100k-mirror-paper256-kimg1500-fixed-p0.2-bgc,1500,4.9818830490112305,0.20000000298023224,17.658164978027344,3.15690279006958,12.440013821578857,16.466019098955726,1500,1,16.466019098955726,1500,0.009103645570576191,1500,1,0.6241199970245361,1500,1,0.026270000264048576,1500,1
E4,E:\Documents\Personal\TJU\25262\机器学习与深度学习\deeplearning-course-stylegan\results\runs\p2-lsun-church256-50k-ada-1500\00000-lsun-church-256-100k-subset50000-mirror-paper256-kimg1500-ada-target0.6-bgc,1500,5.05032205581665,0.1336316466331482,17.658164978027344,3.1468448638916016,12.608557729235283,15.815291109800087,1500,1,15.815291109800087,1500,0.008196279406547546,1500,1,0.5471000075340271,1500,1,0.03669999912381172,1500,1
E5,E:\Documents\Personal\TJU\25262\机器学习与深度学习\deeplearning-course-stylegan\results\runs\p2-lsun-church256-100k-ada-target04-1500\00000-lsun-church-256-100k-mirror-paper256-kimg1500-ada-target0.4-bgc,1500,5.0444488525390625,0.3758094906806946,17.658164978027344,3.1739492416381836,12.599156180271834,15.479140968993278,1500,1,15.479140968993278,1500,0.007494125980883837,1500,1,0.6042400002479553,1500,1,0.029980000108480453,1500,1
E1b,E:\Documents\Personal\TJU\25262\机器学习与深度学习\deeplearning-course-stylegan\results\runs\p2-lsun-church256-100k-ada-seed1-1500\00000-lsun-church-256-100k-mirror-paper256-kimg1500-ada-target0.6-bgc,1500,5.022083282470703,0.11110368371009827,17.658164978027344,3.1419920921325684,12.546163374872693,15.925510457134907,1500,1,15.925510457134907,1500,0.009742794558405876,1500,1,0.5578399896621704,1500,1,0.07391999661922455,1500,1
E2b,E:\Documents\Personal\TJU\25262\机器学习与深度学习\deeplearning-course-stylegan\results\runs\p2-lsun-church256-100k-noada-seed1-1500\00000-lsun-church-256-100k-mirror-paper256-kimg1500-noaug,1500,4.763054370880127,0.0,17.658164978027344,3.0651707649230957,11.916473465374903,18.872311099638946,1500,1,18.872311099638946,1500,0.012374158017337322,1500,1,0.5590000152587891,1500,1,0.04089999943971634,1500,1
E4b,E:\Documents\Personal\TJU\25262\机器学习与深度学习\deeplearning-course-stylegan\results\runs\p2-lsun-church256-50k-ada-seed1-1500\00000-lsun-church-256-100k-subset50000-mirror-paper256-kimg1500-ada-target0.6-bgc,1500,5.047854423522949,0.1070077121257782,17.658164978027344,3.1413726806640625,12.607733161455824,14.013164432310631,1500,1,14.013164432310631,1500,0.007512099575251341,1500,1,0.5280200242996216,1500,1,0.07547000050544739,1500,1
