run,config_path,run_dir,dataset_path,dataset_size,resolution,train_seed,augmentation,augmentation_parameter,mirror_train,budget_kimg,fair_snapshot_kimg,fair_snapshot_pkl,fair_snapshot_path,fair_snapshot_retained,train_gpus_per_run,machine_schedule_context,evaluation_gpus,evaluation_mirror,fid50k_full,kid50k_full,precision,recall,final_training_kimg,final_ada_p,total_hours,peak_gpu_mem_gb,mean_sec_per_kimg,fid_source,fid_eval_count,kid_source,kid_eval_count,pr_source,pr_eval_count,stats_source,training_options_source,protocol_source,interpretation_scope
E1,configs/baseline/p1_lsun_church256_baseline.json,results/runs/p1-lsun-church256-100k-baseline/00003-lsun-church-256-100k-mirror-paper256-kimg2000-ada-target0.6-bgc,data/processed/lsun-church-256-100k.zip,100000,256,42,ada,target=0.6,True,2000,1512,network-snapshot-001512.pkl,results/runs/p1-lsun-church256-100k-baseline/00003-lsun-church-256-100k-mirror-paper256-kimg2000-ada-target0.6-bgc/network-snapshot-001512.pkl,True,2,single two-GPU run,1,False,16.63204712037391,0.011096244677901268,0.5886600017547607,0.06015999987721443,2000,0.1530877947807312,7.345179557800293,3.2403554916381836,12.343778061435016,results/runs/p1-lsun-church256-100k-baseline/00003-lsun-church-256-100k-mirror-paper256-kimg2000-ada-target0.6-bgc/metric-fid50k_full.jsonl,3,results/runs/p1-lsun-church256-100k-baseline/00003-lsun-church-256-100k-mirror-paper256-kimg2000-ada-target0.6-bgc/metric-kid50k_full.jsonl,2,results/runs/p1-lsun-church256-100k-baseline/00003-lsun-church-256-100k-mirror-paper256-kimg2000-ada-target0.6-bgc/metric-pr50k3_full.jsonl,1,results/runs/p1-lsun-church256-100k-baseline/00003-lsun-church-256-100k-mirror-paper256-kimg2000-ada-target0.6-bgc/stats.jsonl,results/runs/p1-lsun-church256-100k-baseline/00003-lsun-church-256-100k-mirror-paper256-kimg2000-ada-target0.6-bgc/training_options.json,configs/baseline/p1_lsun_church256_baseline.json,central baseline; 2000 kimg retained for final display
E2,configs/baseline/p2_lsun_church256_noada_1500.json,results/runs/p2-lsun-church256-100k-noada-1500/00003-lsun-church-256-100k-mirror-paper256-kimg1500-noaug,data/processed/lsun-church-256-100k.zip,100000,256,42,noaug,none,True,1500,1500,network-snapshot-001500.pkl,results/runs/p2-lsun-church256-100k-noada-1500/00003-lsun-church-256-100k-mirror-paper256-kimg1500-noaug/network-snapshot-001500.pkl,True,2,two-GPU run; one of two runs scheduled on a four-GPU machine,1,False,18.585765297849548,0.011263472028076649,0.5571799874305725,0.028289999812841415,1500,0.0,4.56337308883667,3.070557117462158,11.444898891704652,results/runs/p2-lsun-church256-100k-noada-1500/00003-lsun-church-256-100k-mirror-paper256-kimg1500-noaug/metric-fid50k_full.jsonl,2,results/runs/p2-lsun-church256-100k-noada-1500/00003-lsun-church-256-100k-mirror-paper256-kimg1500-noaug/metric-kid50k_full.jsonl,1,results/runs/p2-lsun-church256-100k-noada-1500/00003-lsun-church-256-100k-mirror-paper256-kimg1500-noaug/metric-pr50k3_full.jsonl,1,results/runs/p2-lsun-church256-100k-noada-1500/00003-lsun-church-256-100k-mirror-paper256-kimg1500-noaug/stats.jsonl,not retained,configs/baseline/p2_lsun_church256_noada_1500.json,no-augmentation control; dataset x-flip remains enabled
E3,configs/baseline/p2_lsun_church256_fixedp02_1500.json,results/runs/p2-lsun-church256-100k-fixedp02-1500/00003-lsun-church-256-100k-mirror-paper256-kimg1500-fixed-p0.2-bgc,data/processed/lsun-church-256-100k.zip,100000,256,42,fixed,p=0.2,True,1500,1500,network-snapshot-001500.pkl,results/runs/p2-lsun-church256-100k-fixedp02-1500/00003-lsun-church-256-100k-mirror-paper256-kimg1500-fixed-p0.2-bgc/network-snapshot-001500.pkl,True,2,two-GPU run; one of two runs scheduled on a four-GPU machine,1,False,16.466019098955726,0.009103645570576191,0.6241199970245361,0.026270000264048576,1500,0.20000000298023224,4.9818830490112305,3.15690279006958,12.440013821578857,results/runs/p2-lsun-church256-100k-fixedp02-1500/00003-lsun-church-256-100k-mirror-paper256-kimg1500-fixed-p0.2-bgc/metric-fid50k_full.jsonl,1,results/runs/p2-lsun-church256-100k-fixedp02-1500/00003-lsun-church-256-100k-mirror-paper256-kimg1500-fixed-p0.2-bgc/metric-kid50k_full.jsonl,1,results/runs/p2-lsun-church256-100k-fixedp02-1500/00003-lsun-church-256-100k-mirror-paper256-kimg1500-fixed-p0.2-bgc/metric-pr50k3_full.jsonl,1,results/runs/p2-lsun-church256-100k-fixedp02-1500/00003-lsun-church-256-100k-mirror-paper256-kimg1500-fixed-p0.2-bgc/stats.jsonl,not retained,configs/baseline/p2_lsun_church256_fixedp02_1500.json,single-seed exploratory fixed-augmentation control
E4,configs/baseline/p2_lsun_church256_subset50k_ada_1500.json,results/runs/p2-lsun-church256-50k-ada-1500/00000-lsun-church-256-100k-subset50000-mirror-paper256-kimg1500-ada-target0.6-bgc,data/processed/lsun-church-256-100k.zip,50000,256,42,ada,target=0.6,True,1500,1500,network-snapshot-001500.pkl,results/runs/p2-lsun-church256-50k-ada-1500/00000-lsun-church-256-100k-subset50000-mirror-paper256-kimg1500-ada-target0.6-bgc/network-snapshot-001500.pkl,True,2,two-GPU run; one of two runs scheduled on a four-GPU machine,1,False,15.815291109800087,0.008196279406547546,0.5471000075340271,0.03669999912381172,1500,0.1336316466331482,5.05032205581665,3.1468448638916016,12.608557729235283,results/runs/p2-lsun-church256-50k-ada-1500/00000-lsun-church-256-100k-subset50000-mirror-paper256-kimg1500-ada-target0.6-bgc/metric-fid50k_full.jsonl,1,results/runs/p2-lsun-church256-50k-ada-1500/00000-lsun-church-256-100k-subset50000-mirror-paper256-kimg1500-ada-target0.6-bgc/metric-kid50k_full.jsonl,1,results/runs/p2-lsun-church256-50k-ada-1500/00000-lsun-church-256-100k-subset50000-mirror-paper256-kimg1500-ada-target0.6-bgc/metric-pr50k3_full.jsonl,1,results/runs/p2-lsun-church256-50k-ada-1500/00000-lsun-church-256-100k-subset50000-mirror-paper256-kimg1500-ada-target0.6-bgc/stats.jsonl,not retained,configs/baseline/p2_lsun_church256_subset50k_ada_1500.json,50k condition at fixed image-exposure budget
E5,configs/baseline/p2_lsun_church256_target04_1500.json,results/runs/p2-lsun-church256-100k-ada-target04-1500/00000-lsun-church-256-100k-mirror-paper256-kimg1500-ada-target0.4-bgc,data/processed/lsun-church-256-100k.zip,100000,256,42,ada,target=0.4,True,1500,1500,network-snapshot-001500.pkl,results/runs/p2-lsun-church256-100k-ada-target04-1500/00000-lsun-church-256-100k-mirror-paper256-kimg1500-ada-target0.4-bgc/network-snapshot-001500.pkl,True,2,two-GPU run; one of two runs scheduled on a four-GPU machine,1,False,15.479140968993278,0.007494125980883837,0.6042400002479553,0.029980000108480453,1500,0.3758094906806946,5.0444488525390625,3.1739492416381836,12.599156180271834,results/runs/p2-lsun-church256-100k-ada-target04-1500/00000-lsun-church-256-100k-mirror-paper256-kimg1500-ada-target0.4-bgc/metric-fid50k_full.jsonl,1,results/runs/p2-lsun-church256-100k-ada-target04-1500/00000-lsun-church-256-100k-mirror-paper256-kimg1500-ada-target0.4-bgc/metric-kid50k_full.jsonl,1,results/runs/p2-lsun-church256-100k-ada-target04-1500/00000-lsun-church-256-100k-mirror-paper256-kimg1500-ada-target0.4-bgc/metric-pr50k3_full.jsonl,1,results/runs/p2-lsun-church256-100k-ada-target04-1500/00000-lsun-church-256-100k-mirror-paper256-kimg1500-ada-target0.4-bgc/stats.jsonl,not retained,configs/baseline/p2_lsun_church256_target04_1500.json,single-seed exploratory ADA-target sensitivity result
E1b,configs/baseline/p2_lsun_church256_baseline_seed1_1500.json,results/runs/p2-lsun-church256-100k-ada-seed1-1500/00000-lsun-church-256-100k-mirror-paper256-kimg1500-ada-target0.6-bgc,data/processed/lsun-church-256-100k.zip,100000,256,1,ada,target=0.6,True,1500,1500,network-snapshot-001500.pkl,not retained,False,2,two-GPU run; one of three runs scheduled on a six-GPU machine,1,False,15.925510457134907,0.009742794558405876,0.5578399896621704,0.07391999661922455,1500,0.11110368371009827,5.022083282470703,3.1419920921325684,12.546163374872693,results/runs/p2-lsun-church256-100k-ada-seed1-1500/00000-lsun-church-256-100k-mirror-paper256-kimg1500-ada-target0.6-bgc/metric-fid50k_full.jsonl,1,results/runs/p2-lsun-church256-100k-ada-seed1-1500/00000-lsun-church-256-100k-mirror-paper256-kimg1500-ada-target0.6-bgc/metric-kid50k_full.jsonl,1,results/runs/p2-lsun-church256-100k-ada-seed1-1500/00000-lsun-church-256-100k-mirror-paper256-kimg1500-ada-target0.6-bgc/metric-pr50k3_full.jsonl,1,results/runs/p2-lsun-church256-100k-ada-seed1-1500/00000-lsun-church-256-100k-mirror-paper256-kimg1500-ada-target0.6-bgc/stats.jsonl,not retained,configs/baseline/p2_lsun_church256_baseline_seed1_1500.json,second random condition for E1
E2b,configs/baseline/p2_lsun_church256_noada_seed1_1500.json,results/runs/p2-lsun-church256-100k-noada-seed1-1500/00000-lsun-church-256-100k-mirror-paper256-kimg1500-noaug,data/processed/lsun-church-256-100k.zip,100000,256,1,noaug,none,True,1500,1500,network-snapshot-001500.pkl,not retained,False,2,two-GPU run; one of three runs scheduled on a six-GPU machine,1,False,18.872311099638946,0.012374158017337322,0.5590000152587891,0.04089999943971634,1500,0.0,4.763054370880127,3.0651707649230957,11.916473465374903,results/runs/p2-lsun-church256-100k-noada-seed1-1500/00000-lsun-church-256-100k-mirror-paper256-kimg1500-noaug/metric-fid50k_full.jsonl,1,results/runs/p2-lsun-church256-100k-noada-seed1-1500/00000-lsun-church-256-100k-mirror-paper256-kimg1500-noaug/metric-kid50k_full.jsonl,1,results/runs/p2-lsun-church256-100k-noada-seed1-1500/00000-lsun-church-256-100k-mirror-paper256-kimg1500-noaug/metric-pr50k3_full.jsonl,1,results/runs/p2-lsun-church256-100k-noada-seed1-1500/00000-lsun-church-256-100k-mirror-paper256-kimg1500-noaug/stats.jsonl,not retained,configs/baseline/p2_lsun_church256_noada_seed1_1500.json,second random condition for E2
E4b,configs/baseline/p2_lsun_church256_subset50k_ada_seed1_1500.json,results/runs/p2-lsun-church256-50k-ada-seed1-1500/00000-lsun-church-256-100k-subset50000-mirror-paper256-kimg1500-ada-target0.6-bgc,data/processed/lsun-church-256-100k.zip,50000,256,1,ada,target=0.6,True,1500,1500,network-snapshot-001500.pkl,not retained,False,2,two-GPU run; one of three runs scheduled on a six-GPU machine,1,False,14.013164432310631,0.007512099575251341,0.5280200242996216,0.07547000050544739,1500,0.1070077121257782,5.047854423522949,3.1413726806640625,12.607733161455824,results/runs/p2-lsun-church256-50k-ada-seed1-1500/00000-lsun-church-256-100k-subset50000-mirror-paper256-kimg1500-ada-target0.6-bgc/metric-fid50k_full.jsonl,1,results/runs/p2-lsun-church256-50k-ada-seed1-1500/00000-lsun-church-256-100k-subset50000-mirror-paper256-kimg1500-ada-target0.6-bgc/metric-kid50k_full.jsonl,1,results/runs/p2-lsun-church256-50k-ada-seed1-1500/00000-lsun-church-256-100k-subset50000-mirror-paper256-kimg1500-ada-target0.6-bgc/metric-pr50k3_full.jsonl,1,results/runs/p2-lsun-church256-50k-ada-seed1-1500/00000-lsun-church-256-100k-subset50000-mirror-paper256-kimg1500-ada-target0.6-bgc/stats.jsonl,not retained,configs/baseline/p2_lsun_church256_subset50k_ada_seed1_1500.json,second random condition for E4; also selects a different 50k subset
